[日文單字]
あい: 愛
あお: 藍色
あか: 紅色
さか: 坂
あき: 秋
た: 田
あそこ: 那邊 (距離遠)
あさ: 早上
あさ: 淺
くさ: 草
あし: 腳
あした: 明天
あつい: 天氣很熱
あに: 哥哥
あね: 姐姐
あの: 那個
いえ: 家
いす: 椅子
いち: 一
いぬ: 狗
いこう: 一起去吧
いし: 醫師
うえ: 上
うそ: 說謊
うた: 歌
えき: 火車站
おいしい: 好吃
おそい: 動作慢, 時間晚
おに: 鬼
かお: 臉
かさ: 傘
かし: 菓子
かに: 螃蟹
きかい: 機械
きた: 來了!
きのこ: 香菇類
くうこう: 機場
くさい: 好臭
くち: 嘴巴
くつ: 鞋子
くに: 國
けち: 小氣
こい: 戀
こいぬ: 小狗
こえ: 聲音
ここ: 這邊
さあ: 來! come on!
さけ: 鮭魚 or 酒
さぬき: 讃岐
しき: 四季
すいか: 西瓜
すき: 喜歡
すてき: 了不起
あか: 紅
いか: 烏賊
うま: 馬
いえ: 家
おおかみ: 狼
かに: 螃蟹
き: 木/氣
くま: 熊
とけい: 時鐘
こけ: 苔
さかな: 魚
しか: 鹿
すし: 壽司
せみ: 蟬
そら: 天空
たこ: 章魚
ちず: 地圖
つゆ: 露水
て: 手
とら: 虎
なす: 茄子
にく: 肉
いぬ: 狗
ねこ: 貓
のり: 海苔
はな: 花/華/鼻
ひめ: 公主
ふぐ: 河豚
へび: 蛇
ほし: 星星
まめ: 豆
みかん: 橘子
むし: 昆蟲
めし: 飯
もも: 桃子
やま: 山
ゆき: 雪
よる: 夜晚
いくら: 鮭魚卵
りんご: 蘋果
るい: 淚/壘
れん: 蓮/戀
ろし: 濾紙
わかめ: 裙帶菜
ごはんをたべます: 吃飯
しんかんせん: 新幹線
あさくさ: 淺草
さくら: 櫻花
ほっかいどう: 北海道
おきなわ: 沖繩
[進階]
こうめい: 孔明
こくみんせいふ: 国民政府
さんごくし: 三国志
さんごくしえんぎ: 演義
しょうりんじ: 少林寺
しょうろんぽう: 小籠包
ふうすい: 風水
こうえん: 公園
しょうなんもん: 小南門
なんとう: 南投
こくふきねんかん: 国父記念館
しんじゅく: 新宿
とうかい: 東海
ありさん: 阿里山
しめんそか: 四面楚歌
しんちんたいしゃ: 新陳代謝
しょうがくかん: 小学館
こうだんしゃ: 講談社
てんぷら: 天婦羅
たたみ: 畳
いちらん: 一蘭
しょうじょじだい: 少女時代
だいじょうぶ: 大丈夫
せいち: 聖地
ちゃわん: 茶碗
らくてん: 楽天
はっぴょう: 発表
ゆかい: 愉快
ゆうせん: 優先
ちゅうい: 注意
そんざいかん: 存在感
めんぜいひんてん: 免税品店
ようかい: 妖怪
しつれん: 失恋
ざいさん: 財産
じゅんび: 準備
めいうん: 命運
